num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
8,4,0.8,1000,MCMC,19,2
8,4,0.8,500,MCMC,24,4
8,4,0.8,100,MCMC,18,3
8,2,0.8,1000,MCMC,29,6
8,2,0.8,500,MCMC,33,6
8,2,0.8,100,MCMC,14,4
8,4,0.6,1000,MCMC,11,1
8,4,0.6,500,MCMC,11,2
8,4,0.6,100,MCMC,14,2
8,2,0.6,1000,MCMC,16,3
8,2,0.6,500,MCMC,10,2
8,2,0.6,100,MCMC,16,5
8,4,0.4,1000,MCMC,6,3
8,4,0.4,500,MCMC,10,4
8,4,0.4,100,MCMC,13,4
8,2,0.4,1000,MCMC,9,1
8,2,0.4,500,MCMC,9,3
8,2,0.4,100,MCMC,6,3
8,4,0.2,1000,MCMC,9,1
8,4,0.2,500,MCMC,9,2
8,4,0.2,100,MCMC,6,2
8,2,0.2,1000,MCMC,7,5
8,2,0.2,500,MCMC,8,3
8,2,0.2,100,MCMC,5,4
5,2,0.8,1000,MCMC,1,1
5,2,0.8,500,MCMC,8,3
5,2,0.8,100,MCMC,6,1
5,2,0.8,1000,MCMC,1,0
5,2,0.8,500,MCMC,1,0
5,2,0.8,100,MCMC,5,1
5,2,0.6,1000,MCMC,0,2
5,2,0.6,500,MCMC,1,0
5,2,0.6,100,MCMC,0,0
5,2,0.6,1000,MCMC,2,0
5,2,0.6,500,MCMC,1,0
5,2,0.6,100,MCMC,3,0
5,2,0.4,1000,MCMC,0,1
5,2,0.4,500,MCMC,1,0
5,2,0.4,100,MCMC,2,0
5,2,0.4,1000,MCMC,0,1
5,2,0.4,500,MCMC,2,0
5,2,0.4,100,MCMC,0,0
5,2,0.2,1000,MCMC,3,0
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,2,0
5,2,0.2,1000,MCMC,0,0
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,3,1
8,4,0.8,1000,MCMC,34,4
8,4,0.8,500,MCMC,26,4
8,4,0.8,100,MCMC,16,4
8,2,0.8,1000,MCMC,34,5
8,2,0.8,500,MCMC,31,4
8,2,0.8,100,MCMC,23,5
8,4,0.6,1000,MCMC,18,3
8,4,0.6,500,MCMC,32,4
8,4,0.6,100,MCMC,16,2
8,2,0.6,1000,MCMC,19,6
8,2,0.6,500,MCMC,18,4
8,2,0.6,100,MCMC,14,4
8,4,0.4,1000,MCMC,13,3
8,4,0.4,500,MCMC,19,3
8,4,0.4,100,MCMC,16,3
8,2,0.4,1000,MCMC,6,4
8,2,0.4,500,MCMC,10,2
8,2,0.4,100,MCMC,11,4
8,4,0.2,1000,MCMC,8,1
8,4,0.2,500,MCMC,8,0
8,4,0.2,100,MCMC,8,2
8,2,0.2,1000,MCMC,7,1
8,2,0.2,500,MCMC,6,2
8,2,0.2,100,MCMC,4,4
5,2,0.8,1000,MCMC,1,0
5,2,0.8,500,MCMC,1,0
5,2,0.8,100,MCMC,1,2
5,2,0.8,1000,MCMC,8,1
5,2,0.8,500,MCMC,3,2
5,2,0.8,100,MCMC,3,2
5,2,0.6,1000,MCMC,1,0
5,2,0.6,500,MCMC,1,0
5,2,0.6,100,MCMC,1,0
5,2,0.6,1000,MCMC,3,2
5,2,0.6,500,MCMC,1,2
5,2,0.6,100,MCMC,1,1
5,2,0.4,1000,MCMC,3,2
5,2,0.4,500,MCMC,0,1
5,2,0.4,100,MCMC,2,1
5,2,0.4,1000,MCMC,2,0
5,2,0.4,500,MCMC,0,1
5,2,0.4,100,MCMC,1,1
5,2,0.2,1000,MCMC,0,0
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,1,0
5,2,0.2,1000,MCMC,0,1
5,2,0.2,500,MCMC,1,1
5,2,0.2,100,MCMC,2,1
8,4,0.8,1000,MCMC,20,4
8,4,0.8,500,MCMC,23,4
8,4,0.8,100,MCMC,22,3
8,2,0.8,1000,MCMC,35,6
8,2,0.8,500,MCMC,33,4
8,2,0.8,100,MCMC,15,5
8,4,0.6,1000,MCMC,23,3
8,4,0.6,500,MCMC,12,2
8,4,0.6,100,MCMC,12,2
8,2,0.6,1000,MCMC,8,2
8,2,0.6,500,MCMC,8,3
8,2,0.6,100,MCMC,10,2
8,4,0.4,1000,MCMC,11,3
8,4,0.4,500,MCMC,12,4
8,4,0.4,100,MCMC,10,2
8,2,0.4,1000,MCMC,10,5
8,2,0.4,500,MCMC,15,4
8,2,0.4,100,MCMC,12,4
8,4,0.2,1000,MCMC,8,2
8,4,0.2,500,MCMC,7,2
8,4,0.2,100,MCMC,7,3
8,2,0.2,1000,MCMC,6,4
8,2,0.2,500,MCMC,5,4
8,2,0.2,100,MCMC,10,4
5,2,0.8,1000,MCMC,1,1
5,2,0.8,500,MCMC,2,0
5,2,0.8,100,MCMC,7,1
5,2,0.8,1000,MCMC,0,0
5,2,0.8,500,MCMC,1,1
5,2,0.8,100,MCMC,3,1
5,2,0.6,1000,MCMC,2,0
5,2,0.6,500,MCMC,1,0
5,2,0.6,100,MCMC,3,0
5,2,0.6,1000,MCMC,11,2
5,2,0.6,500,MCMC,2,2
5,2,0.6,100,MCMC,13,3
5,2,0.4,1000,MCMC,1,0
5,2,0.4,500,MCMC,1,0
5,2,0.4,100,MCMC,2,0
5,2,0.4,1000,MCMC,0,2
5,2,0.4,500,MCMC,5,1
5,2,0.4,100,MCMC,4,0
5,2,0.2,1000,MCMC,1,0
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,1,0
5,2,0.2,1000,MCMC,0,0
5,2,0.2,500,MCMC,3,0
5,2,0.2,100,MCMC,2,1
8,4,0.8,1000,MCMC,33,4
8,4,0.8,500,MCMC,24,4
8,4,0.8,100,MCMC,13,2
8,2,0.8,1000,MCMC,23,5
8,2,0.8,500,MCMC,21,5
8,2,0.8,100,MCMC,19,5
8,4,0.6,1000,MCMC,16,3
8,4,0.6,500,MCMC,10,2
8,4,0.6,100,MCMC,19,3
8,2,0.6,1000,MCMC,15,4
8,2,0.6,500,MCMC,15,5
8,2,0.6,100,MCMC,17,5
8,4,0.4,1000,MCMC,8,3
8,4,0.4,500,MCMC,7,3
8,4,0.4,100,MCMC,8,2
8,2,0.4,1000,MCMC,19,5
